A1,A2,A3,A4,A5,A6,A7,A8,A9,class
a,57.08,u,g,c,v,7,f,g,good
b,34.42,u,g,i,bb,2,f,g,good
b,23.92,u,g,c,v,0,f,g,good
b,49.58,u,g,ff,ff,1,f,g,bad
b,28.58,u,g,aa,v,0,t,g,bad
b,49.17,u,g,ff,ff,0,f,g,bad
b,23.75,y,p,c,v,2,f,g,bad
a,22.92,u,g,cc,v,0,f,g,good
b,26.25,u,g,w,v,0,f,g,bad
a,24.5,y,p,c,v,0,f,g,bad
a,47.42,u,g,x,v,2,t,g,good
b,19.58,u,g,ff,ff,3,f,g,bad
b,31.42,u,g,c,v,0,f,g,bad
b,52.33,y,p,c,h,0,t,g,bad
a,23.25,u,g,q,v,10,f,g,good
b,29.83,y,p,x,h,0,f,g,bad
a,31.25,u,g,cc,h,9,t,g,good
b,59.5,u,g,w,v,5,t,g,good
a,21.67,y,p,j,j,11,t,g,good
a,28.17,u,g,q,v,4,f,g,good
b,35.17,u,g,k,v,7,f,g,good
a,40.83,u,g,q,h,0,f,g,good
b,19,y,p,c,v,0,t,g,bad
b,42.25,y,p,c,v,0,t,g,bad
b,29.5,u,g,w,v,1,f,g,bad
b,50.75,u,g,ff,ff,0,f,g,bad
b,55.92,u,g,ff,ff,5,f,g,good
b,21.92,y,p,x,v,1,t,g,good
b,21.33,u,g,c,v,0,t,g,good
b,39.5,u,g,c,v,0,f,g,bad
b,25.58,u,g,k,h,0,t,g,bad
b,18.17,u,g,c,h,0,f,g,bad
b,23.17,u,g,x,h,1,f,g,good
a,60.92,u,g,aa,v,4,f,g,good
a,25,u,g,cc,h,6,f,g,good
b,56.42,y,p,c,v,40,f,g,good
a,53.33,u,g,ff,ff,0,t,s,bad
a,56.5,u,g,j,ff,15,f,g,good
b,32.08,u,g,m,v,0,t,g,good
b,56,u,g,k,h,0,t,g,good
a,27.25,u,g,m,h,1,t,g,bad
b,23,u,g,m,v,0,t,s,bad
b,27.25,u,g,aa,v,0,t,g,bad
b,32.92,u,g,aa,v,2,t,g,bad
a,27.42,u,g,x,h,1,f,g,good
a,25,y,p,aa,v,0,f,g,bad
a,22.67,u,g,c,v,2,t,g,bad
b,34.17,u,g,w,v,0,t,g,good
b,24.75,u,g,m,v,0,t,g,bad
b,27.75,u,g,k,h,0,t,s,bad
b,23.08,u,g,k,v,11,f,s,bad
