A1,A2,A3,A4,A5,A6,A7,A8,A9,class
b,25.17,u,g,cc,v,7,f,g,good
a,20.67,u,g,q,v,3,f,g,good
a,28.58,u,g,q,v,0,t,g,bad
a,24.33,y,p,i,bb,0,f,g,bad
b,36.67,y,p,k,v,10,t,g,good
a,45,u,g,k,h,0,t,s,bad
b,27.83,u,g,w,v,11,t,g,good
b,38.92,u,g,k,v,0,t,g,bad
b,20.42,u,g,c,v,0,f,p,bad
a,26.17,u,g,j,j,0,t,g,bad
b,30.75,u,g,d,v,0,t,s,bad
b,48.25,u,g,w,v,3,f,g,good
a,15.83,u,g,c,h,2,f,g,good
b,27.58,y,p,aa,v,3,t,g,good
b,76.75,u,g,e,z,1,t,g,good
b,37.5,u,g,e,v,0,f,g,bad
b,40.58,u,g,c,v,7,f,g,good
b,32.67,y,p,w,h,0,t,g,good
b,32.33,u,g,c,v,0,t,g,bad
a,24.92,u,g,ff,ff,0,f,g,bad
a,28.58,u,g,c,v,1,t,g,bad
b,34.83,y,p,w,v,0,f,s,bad
b,40.58,u,g,m,v,0,t,s,bad
b,17.92,u,g,aa,v,0,f,g,bad
b,34.08,u,g,c,v,0,f,g,bad
b,28.92,u,g,c,v,0,f,g,bad
b,31.33,u,g,c,v,16,f,g,good
b,32.25,u,g,c,v,0,t,g,bad
b,21.83,u,g,x,v,6,f,g,good
a,21.75,y,p,j,j,0,f,g,bad
b,17.67,u,g,c,v,0,f,s,bad
b,29.83,u,g,c,v,0,f,g,bad
b,24.08,u,g,aa,v,0,t,g,bad
a,28.5,u,g,q,v,2,t,g,bad
b,26.5,y,p,c,v,0,f,s,bad
a,18.25,u,g,w,v,1,f,g,bad
a,71.58,u,g,c,v,0,f,p,good
b,22.67,u,g,c,j,0,t,s,good
b,39.17,y,p,i,h,0,t,s,bad
b,67.75,u,g,e,z,1,t,g,good
b,35.17,u,g,x,h,1,t,g,good
a,23.5,u,g,q,v,5,t,g,good
b,47.67,u,g,c,bb,20,f,g,good
b,33,y,p,w,v,0,t,g,bad
b,42.83,u,g,q,v,0,f,s,good
b,28.75,y,p,c,v,0,t,g,bad
a,22.58,u,g,q,v,5,t,g,good
b,22.17,u,g,i,v,0,f,g,bad
b,26.17,u,g,cc,v,0,f,g,bad
a,22.5,u,g,i,v,0,t,s,bad
a,35.17,u,g,ff,ff,6,f,g,bad
b,41.58,u,g,k,v,0,f,g,bad
b,26.67,u,g,cc,v,1,t,g,good
b,41.33,u,g,c,bb,0,f,g,good
b,31,u,g,c,v,0,f,g,bad
b,30.33,u,g,d,h,0,t,s,bad
b,27.58,y,p,q,h,2,t,g,bad
b,54.83,u,g,e,z,20,f,g,bad
b,49.5,u,g,i,bb,15,t,g,good
b,32.08,y,p,cc,v,0,t,g,bad
b,29.42,u,g,c,h,2,t,g,bad
b,23.08,u,g,ff,ff,0,t,g,bad
b,44.83,y,p,c,v,0,f,g,bad
b,23.5,u,g,ff,ff,0,f,g,bad
b,33.58,u,g,i,bb,0,t,s,bad
a,17.83,u,g,x,h,11,f,g,good
b,59.67,u,g,q,v,0,t,g,good
b,40.92,u,g,ff,ff,0,f,g,bad
b,35.75,u,g,w,v,2,f,g,bad
b,19.5,u,g,aa,v,0,f,g,bad
a,30.67,u,g,c,v,1,f,g,good
b,20.75,y,p,j,v,0,f,g,bad
b,24.83,u,g,c,v,6,f,g,good
a,35.42,u,g,q,h,8,f,g,good
b,39.58,u,g,ff,ff,2,f,g,bad
b,27.75,y,p,cc,v,2,f,g,good
b,24.5,y,p,aa,v,0,t,g,bad
b,20.08,u,g,q,v,1,f,g,good
b,42.75,u,g,aa,v,0,f,g,bad
a,46.67,u,g,cc,h,11,t,g,good
a,60.58,u,g,q,v,0,t,g,good
a,22.83,u,g,q,h,7,t,g,good
b,40.58,u,g,i,bb,0,f,s,bad
b,19.17,y,p,m,bb,0,t,s,good
b,26.75,u,g,d,v,0,t,g,bad
b,23.08,u,g,c,v,11,t,g,good
b,19.17,u,g,w,v,0,f,g,good
b,25.5,u,g,m,v,3,f,g,good
b,54.33,u,g,c,h,11,t,g,good
b,64.08,u,g,x,h,9,t,g,good
a,22.67,u,g,c,v,0,f,g,bad
b,25.17,u,g,c,v,3,f,g,good
b,22.75,u,g,i,v,0,f,g,bad
a,51.92,u,g,i,bb,0,t,g,bad
b,28.67,u,g,d,v,0,f,g,bad
b,29.83,y,p,k,v,0,f,g,bad
b,26.75,u,g,x,h,0,f,g,good
a,18.75,u,g,q,v,5,f,g,good
b,13.75,y,p,w,v,2,t,g,good
a,55.75,u,g,k,h,3,t,g,bad
b,22.08,u,g,c,h,0,t,g,good
b,48.58,u,g,q,h,0,t,g,good
b,27.83,u,g,w,v,1,t,g,bad
a,57.08,u,g,i,bb,0,t,g,bad
b,18.67,u,g,q,v,2,f,g,bad
b,20.17,u,g,aa,v,14,f,g,good
b,37.42,u,g,w,v,0,t,g,good
a,47,u,g,i,bb,9,t,g,good
b,25.67,u,g,c,h,1,t,g,bad
b,18.17,u,g,c,n,2,t,g,bad
a,33.25,y,p,c,v,0,t,g,bad
a,19.58,y,p,c,v,1,f,g,bad
a,52.83,u,g,c,v,14,f,g,good
a,25.25,u,g,d,v,0,t,g,bad
b,25.67,u,g,cc,v,67,t,g,good
b,39.5,u,g,c,bb,16,f,g,good
a,47.42,u,g,e,bb,6,f,g,good
b,31.568171,y,p,i,bb,0,f,g,bad
a,52.5,u,g,aa,h,0,f,g,bad
b,20.5,y,p,c,v,0,f,s,good
a,22.5,y,p,x,v,0,f,g,good
b,33.17,y,p,c,h,1,t,g,good
